"date1","date","trans"
"01/22/2010",2010-01-22,567000
"01/22/2010",2010-01-22,389630.42
"01/22/2010",2010-01-22,-8992.35
"01/22/2010",2010-01-22,-1222.19
"01/22/2010",2010-01-22,-967951.05
"01/22/2010",2010-01-22,-42764.83
"01/25/2010",2010-01-25,259000
"01/25/2010",2010-01-25,-4538.64
"01/25/2010",2010-01-25,-513800
"01/25/2010",2010-01-25,826.74
"01/26/2010",2010-01-26,444000
"01/26/2010",2010-01-26,-313026.74
"01/27/2010",2010-01-27,969000
"01/27/2010",2010-01-27,-379309.91
"01/27/2010",2010-01-27,-64690.09
"01/28/2010",2010-01-28,399000
"01/28/2010",2010-01-28,-606000
"01/29/2010",2010-01-29,615000
"01/29/2010",2010-01-29,-529000
"01/29/2010",2010-01-29,19071.88
"01/03/2011",2011-01-03,-1203843.18
"01/03/2011",2011-01-03,109000
"01/04/2011",2011-01-04,65000
"01/04/2011",2011-01-04,-109000
"01/05/2011",2011-01-05,149000
"01/05/2011",2011-01-05,-65000
"01/06/2011",2011-01-06,167000
"01/06/2011",2011-01-06,-149000
"01/07/2011",2011-01-07,263000
"01/07/2011",2011-01-07,-155916.64
"01/07/2011",2011-01-07,-11083.36
"01/10/2011",2011-01-10,-263000
"01/11/2011",2011-01-11,585000
"01/12/2011",2011-01-12,258000
"01/12/2011",2011-01-12,-589278.39
"01/12/2011",2011-01-12,4278.39
"01/13/2011",2011-01-13,388000
"01/13/2011",2011-01-13,-193068.2
"01/13/2011",2011-01-13,-3340.23
"01/13/2011",2011-01-13,-6420.24
"01/13/2011",2011-01-13,-28591.11
"01/13/2011",2011-01-13,-974.6
"01/13/2011",2011-01-13,-25605.62
"01/14/2011",2011-01-14,1187000
"01/14/2011",2011-01-14,-388000
"01/18/2011",2011-01-18,362000
"01/18/2011",2011-01-18,-1187000
"01/19/2011",2011-01-19,1595000
"01/19/2011",2011-01-19,-362000
"01/20/2011",2011-01-20,1e+06
"01/20/2011",2011-01-20,-910400
"01/21/2011",2011-01-21,868000
"01/21/2011",2011-01-21,-515800
"01/24/2011",2011-01-24,613000
"01/24/2011",2011-01-24,-935.55
"01/24/2011",2011-01-24,-406600
"01/24/2011",2011-01-24,-54000
"01/25/2011",2011-01-25,1551000
"01/25/2011",2011-01-25,-2106470.07
"01/25/2011",2011-01-25,-34403.86
"01/25/2011",2011-01-25,-2452.17
"01/25/2011",2011-01-25,-45873.9
"01/26/2011",2011-01-26,2213000
"01/26/2011",2011-01-26,-760900
"01/26/2011",2011-01-26,18620.12
"01/26/2011",2011-01-26,3215.78
"01/26/2011",2011-01-26,406068.01
"01/27/2011",2011-01-27,1186000
"01/27/2011",2011-01-27,-535200
"01/27/2011",2011-01-27,142316.87
"01/27/2011",2011-01-27,12556.84
"01/27/2011",2011-01-27,17086.51
"01/28/2011",2011-01-28,1260000
"01/28/2011",2011-01-28,-404300
"01/28/2011",2011-01-28,17262.19
"01/28/2011",2011-01-28,-1238.07
"01/28/2011",2011-01-28,-13169.99
"01/28/2011",2011-01-28,-4124.38
"01/31/2011",2011-01-31,1457000
"01/31/2011",2011-01-31,-480050
"01/31/2011",2011-01-31,213071.89
"01/31/2011",2011-01-31,8594.41
"01/31/2011",2011-01-31,0
"01/31/2011",2011-01-31,274.7
"01/03/2012",2012-01-03,-52493.62
"01/03/2012",2012-01-03,65000
"01/04/2012",2012-01-04,45000
"01/04/2012",2012-01-04,-180165.21
"01/05/2012",2012-01-05,-45000
"01/09/2012",2012-01-09,320000
"01/10/2012",2012-01-10,441000
"01/10/2012",2012-01-10,-320000
"01/11/2012",2012-01-11,794000
"01/11/2012",2012-01-11,-403157.71
"01/11/2012",2012-01-11,-7757.43
"01/11/2012",2012-01-11,-30084.86
"01/12/2012",2012-01-12,856000
"01/12/2012",2012-01-12,-515200
"01/13/2012",2012-01-13,465000
"01/13/2012",2012-01-13,-394700
"01/13/2012",2012-01-13,-27565.34
"01/13/2012",2012-01-13,-50418.01
"01/17/2012",2012-01-17,413000
"01/17/2012",2012-01-17,-1121919.49
"01/17/2012",2012-01-17,-3681.04
"01/17/2012",2012-01-17,-1516.12
"01/18/2012",2012-01-18,612000
"01/18/2012",2012-01-18,-413000
"01/19/2012",2012-01-19,1202000
"01/19/2012",2012-01-19,-464400
"01/20/2012",2012-01-20,370000
"01/20/2012",2012-01-20,-371800
"01/20/2012",2012-01-20,-226.6
"01/23/2012",2012-01-23,474000
"01/23/2012",2012-01-23,-459500
"01/24/2012",2012-01-24,947000
"01/24/2012",2012-01-24,-1362073.4
"01/25/2012",2012-01-25,1255000
"01/25/2012",2012-01-25,-589200
"01/26/2012",2012-01-26,448000
"01/26/2012",2012-01-26,3811.22
"01/26/2012",2012-01-26,-401300
"01/26/2012",2012-01-26,-77077.76
"01/26/2012",2012-01-26,-7415.88
"01/26/2012",2012-01-26,-2030.85
"01/26/2012",2012-01-26,-3745.32
"01/26/2012",2012-01-26,-1897.82
"01/27/2012",2012-01-27,775000
"01/27/2012",2012-01-27,-357700
"01/30/2012",2012-01-30,-333600
"01/30/2012",2012-01-30,2030.85
"01/31/2012",2012-01-31,5348000
"01/31/2012",2012-01-31,-1658757.86
"01/31/2012",2012-01-31,1213.76
"01/31/2012",2012-01-31,1883.42
"01/31/2012",2012-01-31,375562.02
"01/02/2013",2013-01-02,55000
"01/02/2013",2013-01-02,-4393000
"01/03/2013",2013-01-03,80000
"01/03/2013",2013-01-03,-786200
"01/04/2013",2013-01-04,104000
"01/04/2013",2013-01-04,-299300
"01/07/2013",2013-01-07,195000
"01/07/2013",2013-01-07,-338850
"01/08/2013",2013-01-08,132000
"01/08/2013",2013-01-08,-4723050
"01/08/2013",2013-01-08,-19349.28
"01/08/2013",2013-01-08,-47766.05
"01/08/2013",2013-01-08,-1187.57
"01/08/2013",2013-01-08,-25782.91
"01/09/2013",2013-01-09,310000
"01/09/2013",2013-01-09,-450000
"01/10/2013",2013-01-10,522000
"01/10/2013",2013-01-10,-456100
"01/10/2013",2013-01-10,-12401.31
"01/11/2013",2013-01-11,360000
"01/11/2013",2013-01-11,-329800
